id_pedido;fecha_despacho;dia_semana_despacho;provincia_destino;categoria_producto;peso_paquete_kg;volumen_paquete_cm3;proveedor_logistico;distancia_km;clima_despacho;es_vispera_feriado;tipo_envio;intentos_previos;etiqueta_fragil;entrega_demorada;codigo_postal_dest;valor_declarado_ars
715;14/1/2023;sábado;Mendoza;Indumentaria;4947;500180;Oca;827;Lluvia;No;Express;0;No;0;B19XX;42990
716;20/3/2023;lunes;Neuquén;Juguetes;3658;180220;Transporte Propio;2164;Despejado;Sí;Express;1;No;1;B3904AAA;104552
717;8/1/2023;domingo;Salta;Muebles;1776;189700;Correo Argentino;258;Despejado;No;Same-Day;0;Sí;0;B1034AAA;91845
718;24/9/2023;domingo;Tucumán;Juguetes;4208;193790;Correo Argentino;1859;Despejado;No;Express;1;No;0;B1217AAA;148522
719;29/6/2023;jueves;Neuquén;Juguetes;438;708100;Andreani;545;Despejado;No;Same-Day;0;Sí;0;B5891AAA;$ 12.751
720;6/11/2023;lunes;Neuquén;Bazar;133;932760;Correo Argentino;493;Despejado;No;Same-Day;0;Sí;0;B9746AAA;ARS 31214
721;7/4/2023;viernes;Neuquén;Juguetes;2716;23500;Transporte Propio;2037;Despejado;No;Express;0;No;0;B5214AAA;130945
722;7/11/2023;martes;Mendoza;Electrónica;2657;796220;Andreani;1504;Lluvia;Sí;Same-Day;1;No;1;B5512AAA;ARS 13310
723;31/12/2023;domingo;Buenos Aires;Muebles;695;835410;Andreani;126;Despejado;No;Same-Day;3;Sí;0;B2996AAA;26188
724;20/2/2023;lunes;Tucumán;Muebles;2257;936070;Correo Argentino;1150;Despejado;No;Express;1;No;1;B7553AAA;42600
725;12/11/2023;domingo;Santa Fe;Muebles;1055;90710;Transporte Propio;333;Despejado;No;Normal;2;Sí;0;B4695AAA;$ 23.414
726;13/2/2023;lunes;Neuquén;Indumentaria;4701;784350;Andreani;1972;Despejado;No;Express;3;No;0;B4692AAA;96589
727;24/12/2023;domingo;Neuquén;Juguetes;4507;774000;Transporte Propio;1261;Lluvia;No;Express;1;Sí;0;B5305AAA;125329
728;27/9/2023;miércoles;Salta;Electrónica;697;103300;Transporte Propio;1395;Despejado;No;Same-Day;3;Sí;0;B6205AAA;ARS 37426
729;5/8/2023;sábado;Neuquén;Juguetes;1679;862750;Oca;744;Despejado;No;Express;2;No;0;B19XX;30822
730;1/3/2023;miércoles;Córdoba;Electrónica;2941;942370;Correo Argentino;264;Despejado;Sí;Express;3;No;1;B8172AAA;$ 108.401
731;6/5/2023;sábado;Buenos Aires;Bazar;3388;736780;Oca;1338;Despejado;No;Express;3;No;1;123;$ 31.004
732;21/2/2023;martes;Neuquén;Indumentaria;888;65290;Andreani;807;Lluvia;No;Express;1;Sí;0;B8620AAA;91250
733;2/10/2023;lunes;Buenos Aires;Indumentaria;2632;548190;Andreani;852;Despejado;No;Normal;2;No;0;B9304AAA;52619
734;10/4/2023;lunes;Neuquén;Bazar;4304;95540;Andreani;1383;Despejado;Sí;Express;2;No;0;B7120AAA;94050
735;15/7/2023;sábado;Santa Fe;Electrónica;1201;89810;Oca;607;Lluvia;No;Express;3;No;0;B3472AAA;137237
736;20/4/2023;jueves;Neuquén;Juguetes;1081;488240;Transporte Propio;548;Despejado;No;Same-Day;2;Sí;0;B4966AAA;14617
737;11/4/2023;martes;Tucumán;Muebles;273;538560;Andreani;955;Despejado;No;Same-Day;0;No;0;B4890AAA;23499
738;13/8/2023;domingo;Córdoba;Indumentaria;4367;74100;Oca;1922;Tormenta;No;Express;2;Sí;1;B2278AAA;ARS 14231
739;30/6/2023;viernes;Buenos Aires;Muebles;2972;243400;Oca;2283;Despejado;Sí;Normal;3;Sí;1;B1656AAA;ARS 100436
740;7/8/2023;lunes;Tucumán;Muebles;450;830530;Correo Argentino;251;Despejado;No;Normal;3;Sí;0;B4639AAA;ARS 129593
741;15/9/2023;viernes;Santa Fe;Bazar;3179;739210;Correo Argentino;2180;Despejado;No;Express;2;No;0;B7031AAA;76198
742;9/9/2023;sábado;Neuquén;Indumentaria;412;411720;Oca;922;Despejado;No;Same-Day;3;No;0;B1551AAA;40305
743;11/7/2023;martes;CABA;Juguetes;4845;540660;Oca;21;Despejado;No;Express;3;Sí;0;B7415AAA;$ 20.314
744;11/8/2023;viernes;Buenos Aires;Bazar;46;153020;Oca;688;Despejado;No;Normal;3;Sí;0;B9367AAA;$ 118.175
745;3/3/2023;viernes;Tucumán;Muebles;4121;865650;Andreani;1020;Despejado;No;Same-Day;2;No;0;B7627AAA;68959
746;29/3/2023;miércoles;Mendoza;Indumentaria;1671;128510;Andreani;2471;Lluvia;No;Express;1;Sí;1;B6019AAA;41885
747;27/8/2023;domingo;Buenos Aires;Juguetes;1576;188840;Transporte Propio;1480;Despejado;No;Same-Day;3;Sí;0;N/A;38572
748;10/1/2023;martes;Neuquén;Muebles;1454;706100;Correo Argentino;429;Despejado;Sí;Same-Day;3;No;0;B19XX;ARS 40436
749;13/11/2023;lunes;Santa Fe;Juguetes;3921;808400;Andreani;1336;Tormenta;Sí;Same-Day;1;Sí;1;B4439AAA;ARS 66642
750;25/1/2023;miércoles;Tucumán;Bazar;877;807340;Transporte Propio;2168;Lluvia;No;Normal;1;No;0;B6983AAA;$ 10.415
751;10/12/2023;domingo;Tucumán;Electrónica;1866;656110;Andreani;1186;Lluvia;No;Same-Day;0;Sí;1;B3653AAA;31101
752;27/5/2023;sábado;Salta;Bazar;3368;303600;Andreani;1807;Despejado;No;Express;1;Sí;1;B3697AAA;ARS 45955
753;31/1/2023;martes;Buenos Aires;Bazar;1267;596210;Correo Argentino;1028;Despejado;No;Normal;3;No;0;B7660AAA;ARS 54791
754;9/5/2023;martes;Córdoba;Indumentaria;4649;665030;Transporte Propio;1586;Tormenta;No;Express;0;Sí;0;B8889AAA;59851
755;25/9/2023;lunes;Mendoza;Muebles;97;262660;Transporte Propio;2288;Tormenta;No;Normal;1;Sí;0;B5526AAA;ARS 110322
756;16/2/2023;jueves;Salta;Electrónica;1489;919240;Transporte Propio;82;Lluvia;No;Normal;0;No;0;B7209AAA;10441
757;26/1/2023;jueves;Tucumán;Bazar;386;423660;Andreani;824;Despejado;No;Same-Day;1;No;0;B1278AAA;$ 126.714
758;16/11/2023;jueves;Santa Fe;Bazar;775;478900;Andreani;1433;Despejado;No;Same-Day;0;Sí;0;123;92327
759;22/2/2023;miércoles;Santa Fe;Muebles;99;891700;Transporte Propio;1326;Despejado;No;Normal;2;No;0;B4430AAA;45874
760;22/9/2023;viernes;CABA;Juguetes;4294;616800;Correo Argentino;592;Despejado;No;Express;1;No;0;B6325AAA;$ 124.746
761;3/6/2023;sábado;Neuquén;Bazar;1525;918490;Correo Argentino;290;Tormenta;No;Normal;0;No;0;B4506AAA;12491
762;22/7/2023;sábado;CABA;Juguetes;354;325750;Oca;1232;Lluvia;No;Same-Day;1;Sí;0;123;18944
763;25/4/2023;martes;Tucumán;Juguetes;265;271350;Oca;2392;Despejado;No;Express;2;No;0;B8751AAA;130825
764;11/3/2023;sábado;Neuquén;Indumentaria;4738;187710;Oca;2313;Despejado;No;Same-Day;1;No;0;B7250AAA;$ 64.284
765;20/10/2023;viernes;Buenos Aires;Juguetes;1368;691380;Correo Argentino;2103;Despejado;Sí;Normal;2;Sí;0;B6928AAA;ARS 39318
766;1/7/2023;sábado;Salta;Muebles;2548;504900;Transporte Propio;1380;Despejado;No;Same-Day;3;No;1;B3225AAA;$ 128.484
767;22/12/2023;viernes;Buenos Aires;Muebles;619;670950;Correo Argentino;364;Lluvia;No;Same-Day;2;No;0;B9497AAA;109656
768;11/4/2023;martes;Buenos Aires;Electrónica;3889;380860;Andreani;1884;Despejado;No;Normal;3;No;0;B9215AAA;61245
769;22/9/2023;viernes;CABA;Indumentaria;3117;724930;Andreani;2437;Lluvia;No;Express;1;Sí;0;B5698AAA;$ 111.353
770;5/10/2023;jueves;Salta;Electrónica;2947;254810;Andreani;2182;Despejado;No;Same-Day;2;Sí;0;B4771AAA;32545
771;20/4/2023;jueves;CABA;Muebles;797;237210;Andreani;480;Despejado;No;Same-Day;0;No;0;B7751AAA;5533
772;7/3/2023;martes;Mendoza;Muebles;444;896380;Correo Argentino;1497;Tormenta;No;Same-Day;1;Sí;0;N/A;79660
773;4/8/2023;viernes;Tucumán;Indumentaria;2796;446700;Oca;442;Despejado;No;Express;3;No;0;123;117806
774;20/7/2023;jueves;Santa Fe;Juguetes;199;730250;Transporte Propio;1639;Despejado;No;Normal;1;Sí;0;B3945AAA;ARS 146370
775;27/3/2023;lunes;Salta;Electrónica;2833;31980;Transporte Propio;1525;Despejado;No;Normal;0;Sí;0;B9154AAA;34177
776;25/10/2023;miércoles;Salta;Indumentaria;1121;868980;Transporte Propio;1580;Despejado;No;Express;0;Sí;0;B2965AAA;ARS 96839
777;4/7/2023;martes;Santa Fe;Muebles;3176;601980;Transporte Propio;1031;Lluvia;No;Same-Day;3;No;0;B3827AAA;$ 77.668
778;23/8/2023;miércoles;Mendoza;Indumentaria;1702;53600;Correo Argentino;2354;Despejado;No;Express;0;Sí;0;B6398AAA;110058
779;25/4/2023;martes;Córdoba;Indumentaria;1246;503160;Correo Argentino;1744;Despejado;No;Normal;0;Sí;0;B7449AAA;143758
780;3/10/2023;martes;Salta;Electrónica;3317;722340;Andreani;1608;Despejado;No;Normal;3;No;0;B6445AAA;ARS 67542
781;17/1/2023;martes;Buenos Aires;Muebles;839;282720;Oca;290;Lluvia;No;Same-Day;2;Sí;0;B7841AAA;79462
782;9/4/2023;domingo;Salta;Electrónica;2687;522610;Oca;452;Despejado;No;Normal;2;No;0;B4572AAA;149277
783;17/10/2023;martes;Santa Fe;Indumentaria;2596;602100;Correo Argentino;444;Lluvia;No;Express;0;No;0;B4081AAA;$ 71.271
784;25/1/2023;miércoles;Salta;Muebles;4618;588830;Correo Argentino;1393;Despejado;No;Express;3;Sí;0;B6046AAA;$ 111.186
785;30/11/2023;jueves;Mendoza;Juguetes;1704;129470;Correo Argentino;1881;Tormenta;No;Express;0;No;0;B7072AAA;ARS 137511
786;9/5/2023;martes;Córdoba;Indumentaria;1696;212260;Oca;982;Despejado;No;Express;0;Sí;0;123;$ 149.215
787;23/7/2023;domingo;Córdoba;Indumentaria;2593;394230;Andreani;2386;Lluvia;No;Express;1;No;0;B9584AAA;$ 99.174
788;22/4/2023;sábado;Neuquén;Juguetes;2863;508170;Correo Argentino;2109;Despejado;No;Same-Day;3;No;0;B2083AAA;129464
789;2/1/2023;lunes;Córdoba;Electrónica;2268;128830;Correo Argentino;238;Despejado;No;Normal;0;No;0;B1916AAA;9677
790;15/3/2023;miércoles;Buenos Aires;Juguetes;1374;737830;Oca;625;Tormenta;No;Express;1;No;0;B9437AAA;104200
791;14/4/2023;viernes;Salta;Bazar;2963;334520;Transporte Propio;2333;Despejado;No;Normal;1;Sí;0;B6960AAA;138962
792;1/1/2024;lunes;Córdoba;Electrónica;773;410060;Oca;1343;Despejado;No;Normal;2;No;0;B5855AAA;109123
793;20/12/2023;miércoles;Mendoza;Bazar;3398;776400;Transporte Propio;129;Tormenta;No;Normal;2;Sí;0;B7701AAA;$ 148.390
794;27/2/2023;lunes;Córdoba;Bazar;663;421470;Oca;453;Despejado;No;Same-Day;2;Sí;0;N/A;$ 91.962
795;12/12/2023;martes;Córdoba;Bazar;4292;561250;Andreani;2403;Despejado;No;Normal;1;Sí;1;N/A;72238
796;13/3/2023;lunes;Neuquén;Indumentaria;2687;483820;Oca;1932;Despejado;Sí;Same-Day;3;Sí;0;B7040AAA;67820
797;20/5/2023;sábado;Salta;Bazar;2212;858960;Andreani;616;Despejado;No;Same-Day;0;No;0;B3009AAA;$ 7.800
798;19/7/2023;miércoles;Buenos Aires;Juguetes;3122;937350;Oca;2179;Tormenta;No;Normal;3;Sí;1;B1690AAA;ARS 112803
799;29/7/2023;sábado;Mendoza;Electrónica;3612;157910;Oca;1938;Despejado;No;Express;0;Sí;0;B4604AAA;ARS 38847
800;19/8/2023;sábado;Buenos Aires;Bazar;1789;775140;Correo Argentino;784;Despejado;No;Express;2;Sí;0;B2080AAA;69316
801;16/4/2023;domingo;Buenos Aires;Electrónica;425;819320;Correo Argentino;2447;Despejado;No;Express;1;Sí;1;B1857AAA;$ 93.233
802;30/3/2023;jueves;Neuquén;Bazar;3389;764870;Correo Argentino;246;Lluvia;Sí;Express;3;No;1;B6666AAA;$ 17.169
803;20/10/2023;viernes;Santa Fe;Muebles;1463;520120;Correo Argentino;1796;Despejado;No;Normal;0;No;0;B3757AAA;$ 145.515
804;11/10/2023;miércoles;CABA;Electrónica;212;654160;Transporte Propio;200;Despejado;Sí;Normal;3;No;0;B6443AAA;ARS 84080
805;16/11/2023;jueves;Santa Fe;Indumentaria;4025;912760;Andreani;1948;Lluvia;Sí;Normal;2;No;0;B6861AAA;ARS 98534
806;19/2/2023;domingo;Mendoza;Muebles;1015;802800;Andreani;1017;Despejado;No;Express;2;Sí;0;B9882AAA;$ 31.067
807;11/7/2023;martes;Salta;Electrónica;2194;240820;Oca;2422;Despejado;No;Normal;3;Sí;0;B7956AAA;$ 99.413
808;22/11/2023;miércoles;Buenos Aires;Muebles;3273;527250;Oca;2333;Despejado;No;Express;1;Sí;0;B1811AAA;116296
809;24/10/2023;martes;Salta;Juguetes;4247;83380;Transporte Propio;932;Tormenta;No;Same-Day;0;Sí;1;B8046AAA;125789
810;12/4/2023;miércoles;Mendoza;Muebles;832;681930;Oca;2403;Despejado;No;Express;3;Sí;0;B19XX;125905
811;24/3/2023;viernes;Mendoza;Muebles;1086;234640;Correo Argentino;744;Despejado;No;Express;1;No;1;B9130AAA;80033
812;21/11/2023;martes;Córdoba;Indumentaria;2681;67670;Transporte Propio;349;Tormenta;No;Same-Day;0;Sí;0;N/A;ARS 74386
813;16/10/2023;lunes;Santa Fe;Bazar;3468;206170;Andreani;70;Despejado;No;Express;3;No;0;B5790AAA;$ 88.217
814;25/12/2023;lunes;Santa Fe;Indumentaria;417;744430;Transporte Propio;1939;Despejado;No;Normal;2;No;0;B9399AAA;ARS 98347
815;29/5/2023;lunes;Tucumán;Electrónica;4297;675650;Transporte Propio;2272;Despejado;No;Normal;2;Sí;0;B2234AAA;58856
816;8/7/2023;sábado;Santa Fe;Muebles;2924;201690;Oca;1322;Despejado;No;Same-Day;2;No;0;B1539AAA;$ 119.887
817;11/11/2023;sábado;Mendoza;Muebles;1612;471190;Correo Argentino;1377;Despejado;No;Normal;3;Sí;0;B4912AAA;$ 56.059
818;18/8/2023;viernes;CABA;Juguetes;625;728600;Oca;1658;Lluvia;No;Same-Day;2;Sí;0;B4887AAA;ARS 24290
819;26/11/2023;domingo;Córdoba;Bazar;1744;592400;Oca;687;Lluvia;No;Same-Day;0;No;0;B7758AAA;ARS 103865
820;2/7/2023;domingo;Tucumán;Indumentaria;2257;277180;Transporte Propio;1822;Despejado;No;Same-Day;2;No;0;B1642AAA;146797
821;1/4/2023;sábado;Neuquén;Indumentaria;759;554260;Correo Argentino;1633;Despejado;No;Express;1;Sí;0;B3525AAA;$ 89.967
822;20/4/2023;jueves;Neuquén;Electrónica;2381;728530;Correo Argentino;2484;Despejado;No;Same-Day;3;Sí;0;B1325AAA;$ 69.677
823;12/5/2023;viernes;CABA;Muebles;1929;492420;Oca;119;Despejado;No;Express;2;No;0;B5993AAA;85806
824;24/3/2023;viernes;Santa Fe;Bazar;1451;236440;Oca;894;Despejado;No;Express;3;Sí;0;B3368AAA;ARS 77526
825;21/3/2023;martes;Neuquén;Electrónica;164;158880;Transporte Propio;2449;Despejado;No;Same-Day;2;Sí;0;B6240AAA;146425
826;5/12/2023;martes;Neuquén;Indumentaria;1723;942060;Transporte Propio;263;Lluvia;No;Same-Day;3;Sí;0;B2590AAA;$ 40.669
827;27/1/2023;viernes;Córdoba;Bazar;3398;21220;Oca;484;Despejado;No;Normal;2;Sí;0;B9242AAA;68867
828;19/4/2023;miércoles;Santa Fe;Juguetes;4716;562310;Correo Argentino;2038;Despejado;No;Same-Day;3;Sí;0;B7756AAA;ARS 120521
829;15/8/2023;martes;Córdoba;Electrónica;4524;727920;Oca;639;Despejado;No;Same-Day;2;Sí;0;B7595AAA;ARS 101741
830;12/12/2023;martes;Neuquén;Muebles;3379;61090;Oca;2013;Despejado;No;Normal;2;Sí;0;B3966AAA;$ 106.026
831;3/1/2023;martes;Tucumán;Indumentaria;3471;853920;Andreani;2450;Despejado;Sí;Normal;0;No;0;B7483AAA;$ 135.439
832;13/7/2023;jueves;CABA;Electrónica;2608;63840;Transporte Propio;1887;Despejado;No;Normal;1;Sí;1;B6536AAA;ARS 148301
833;27/10/2023;viernes;Salta;Bazar;1351;11000;Oca;565;Despejado;No;Normal;0;No;0;B2194AAA;ARS 128427
834;25/3/2023;sábado;Salta;Indumentaria;456;818230;Transporte Propio;1858;Despejado;No;Express;2;No;0;B6589AAA;$ 107.995
835;9/8/2023;miércoles;Tucumán;Indumentaria;4298;20430;Transporte Propio;471;Despejado;No;Same-Day;2;Sí;0;B1465AAA;ARS 27091
836;15/6/2023;jueves;CABA;Muebles;4142;949800;Andreani;1419;Despejado;No;Normal;2;No;0;B8638AAA;$ 46.742
837;6/1/2023;viernes;Salta;Bazar;4338;814400;Andreani;637;Tormenta;No;Normal;0;Sí;0;B4119AAA;97700
838;25/12/2023;lunes;Neuquén;Bazar;195;313840;Transporte Propio;933;Despejado;No;Normal;3;No;0;B19XX;$ 144.288
839;7/5/2023;domingo;Santa Fe;Juguetes;2085;164830;Transporte Propio;2221;Despejado;No;Express;0;No;0;B3173AAA;ARS 90300
840;26/3/2023;domingo;Salta;Bazar;3739;702530;Correo Argentino;1734;Despejado;No;Same-Day;0;No;0;B6518AAA;8395
841;20/7/2023;jueves;Mendoza;Bazar;106;238500;Correo Argentino;516;Despejado;No;Normal;2;Sí;1;B7884AAA;$ 39.352
842;30/10/2023;lunes;Córdoba;Muebles;3449;149220;Correo Argentino;2298;Despejado;No;Normal;2;Sí;0;B4708AAA;ARS 146793
843;31/3/2023;viernes;Córdoba;Indumentaria;3954;203670;Oca;684;Despejado;Sí;Express;1;No;1;B9749AAA;ARS 76305
844;23/1/2023;lunes;CABA;Electrónica;2312;655120;Correo Argentino;1571;Tormenta;No;Same-Day;1;No;0;B7326AAA;ARS 142608
845;2/3/2023;jueves;Santa Fe;Electrónica;3939;886520;Correo Argentino;1770;Despejado;No;Same-Day;3;Sí;0;B4150AAA;104410
846;19/2/2023;domingo;Santa Fe;Indumentaria;2988;132980;Transporte Propio;2387;Despejado;No;Normal;2;Sí;0;B1084AAA;133136
847;25/5/2023;jueves;CABA;Juguetes;1388;787390;Transporte Propio;1634;Despejado;No;Same-Day;3;Sí;1;B3829AAA;11602
848;13/1/2023;viernes;Mendoza;Electrónica;418;79980;Oca;755;Lluvia;No;Express;0;No;0;B7742AAA;ARS 8356
849;2/3/2023;jueves;Neuquén;Juguetes;198;393280;Andreani;2241;Lluvia;No;Same-Day;0;No;1;B2432AAA;75516
850;10/2/2023;viernes;Córdoba;Juguetes;213;894900;Correo Argentino;359;Despejado;No;Express;3;Sí;0;B5130AAA;48936
851;27/2/2023;lunes;Salta;Muebles;118;716630;Andreani;1954;Despejado;No;Same-Day;2;No;1;B1558AAA;$ 33.762
852;31/5/2023;miércoles;Santa Fe;Muebles;3165;350930;Correo Argentino;203;Lluvia;No;Normal;0;No;0;B6885AAA;$ 80.379
853;15/5/2023;lunes;Salta;Juguetes;45;428960;Correo Argentino;1828;Despejado;No;Same-Day;2;Sí;0;B6295AAA;$ 31.058
854;15/7/2023;sábado;Salta;Juguetes;4042;68400;Correo Argentino;1236;Despejado;No;Express;0;Sí;1;B1401AAA;86825
855;26/8/2023;sábado;CABA;Indumentaria;2887;43440;Andreani;445;Despejado;No;Express;3;No;0;B5061AAA;ARS 52454
856;8/4/2023;sábado;Santa Fe;Electrónica;4425;496940;Andreani;1777;Lluvia;No;Same-Day;1;No;0;123;50832
857;2/6/2023;viernes;Tucumán;Indumentaria;4004;327480;Transporte Propio;2481;Despejado;No;Same-Day;1;No;1;B6730AAA;$ 72.725
858;4/3/2023;sábado;Córdoba;Indumentaria;1625;560410;Oca;2178;Despejado;No;Express;1;Sí;0;B8068AAA;126148
859;19/10/2023;jueves;Santa Fe;Indumentaria;1841;742340;Correo Argentino;934;Despejado;No;Express;1;No;0;B7670AAA;ARS 47482
860;3/9/2023;domingo;Buenos Aires;Bazar;4663;491370;Oca;2061;Despejado;No;Normal;2;Sí;0;123;ARS 28332
861;13/5/2023;sábado;Mendoza;Bazar;2544;25780;Andreani;839;Despejado;No;Same-Day;3;No;0;B8098AAA;70876
862;5/7/2023;miércoles;Buenos Aires;Bazar;509;488690;Oca;1040;Despejado;No;Express;3;Sí;0;B4209AAA;$ 4.689
863;25/12/2023;lunes;Mendoza;Juguetes;80;534970;Andreani;1973;Despejado;No;Same-Day;2;No;0;B6329AAA;ARS 115433
864;12/7/2023;miércoles;Córdoba;Electrónica;2506;206540;Transporte Propio;1928;Despejado;No;Normal;3;No;1;B5909AAA;ARS 123383
865;25/12/2023;lunes;Córdoba;Muebles;4566;453520;Oca;752;Despejado;No;Normal;0;No;0;B5112AAA;144022
866;4/2/2023;sábado;Santa Fe;Juguetes;1497;123230;Oca;1224;Despejado;No;Same-Day;3;No;1;B1098AAA;$ 46.650
867;18/12/2023;lunes;Mendoza;Bazar;79;723540;Transporte Propio;1028;Despejado;No;Express;2;No;0;B5761AAA;59780
868;1/7/2023;sábado;Buenos Aires;Muebles;3709;804900;Oca;1985;Lluvia;No;Express;0;Sí;0;B6416AAA;18611
869;11/8/2023;viernes;Buenos Aires;Bazar;1841;208950;Andreani;951;Despejado;No;Normal;3;No;0;B1204AAA;$ 124.293
870;28/4/2023;viernes;CABA;Indumentaria;1183;616280;Andreani;418;Despejado;No;Express;2;No;0;B9466AAA;27373
871;29/5/2023;lunes;Santa Fe;Muebles;1444;911290;Correo Argentino;1267;Tormenta;No;Express;3;Sí;1;B1211AAA;81636
872;1/10/2023;domingo;CABA;Bazar;465;482120;Andreani;589;Despejado;No;Normal;3;No;0;B9277AAA;$ 116.199
873;3/4/2023;lunes;Buenos Aires;Indumentaria;2274;670520;Oca;1884;Lluvia;No;Normal;2;Sí;0;B7910AAA;$ 97.102
874;22/6/2023;jueves;Santa Fe;Electrónica;2727;202970;Andreani;2085;Despejado;No;Same-Day;3;Sí;0;B5305AAA;56372
875;16/5/2023;martes;Neuquén;Muebles;3972;168320;Oca;1064;Despejado;No;Normal;0;No;0;B1995AAA;$ 66.475
876;27/10/2023;viernes;Santa Fe;Indumentaria;4069;110740;Andreani;274;Lluvia;No;Same-Day;0;Sí;0;B9765AAA;7935
877;27/8/2023;domingo;Neuquén;Juguetes;2175;624170;Oca;775;Lluvia;No;Express;2;Sí;0;N/A;ARS 127738
878;23/11/2023;jueves;Mendoza;Muebles;4357;294120;Oca;1603;Despejado;No;Express;3;Sí;0;B8788AAA;123377
879;2/12/2023;sábado;CABA;Juguetes;331;493940;Transporte Propio;31;Despejado;No;Normal;3;Sí;0;B1991AAA;97105
880;29/9/2023;viernes;Neuquén;Electrónica;17;82200;Oca;1958;Despejado;No;Normal;0;Sí;0;B7219AAA;107505
881;10/12/2023;domingo;Santa Fe;Indumentaria;244;480650;Andreani;1157;Lluvia;No;Express;0;Sí;0;B8653AAA;$ 68.660
882;6/1/2023;viernes;Salta;Muebles;983;426980;Oca;1761;Despejado;No;Normal;3;No;0;B6888AAA;$ 31.157
883;11/5/2023;jueves;Buenos Aires;Bazar;3433;361680;Oca;1087;Lluvia;No;Express;3;Sí;0;B5394AAA;135319
884;15/6/2023;jueves;Santa Fe;Bazar;4838;552290;Transporte Propio;1134;Lluvia;No;Same-Day;1;Sí;0;B6790AAA;ARS 29722
885;7/7/2023;viernes;Salta;Juguetes;4931;78930;Oca;297;Despejado;No;Normal;3;No;0;B3392AAA;$ 86.920
886;20/2/2023;lunes;Tucumán;Muebles;414;827730;Correo Argentino;683;Tormenta;No;Same-Day;0;Sí;1;B6894AAA;$ 88.214
887;5/4/2023;miércoles;Salta;Electrónica;627;808280;Oca;17;Lluvia;No;Express;0;No;0;B8187AAA;ARS 17545
888;28/2/2023;martes;Neuquén;Electrónica;4941;95680;Transporte Propio;206;Despejado;No;Express;2;No;0;B1282AAA;$ 126.525
889;28/1/2023;sábado;Santa Fe;Indumentaria;125;509660;Oca;1882;Despejado;Sí;Express;3;Sí;0;123;$ 67.470
890;4/11/2023;sábado;Buenos Aires;Muebles;3406;920820;Oca;497;Despejado;No;Same-Day;3;No;0;B3511AAA;19302
891;30/12/2023;sábado;Santa Fe;Bazar;1896;189170;Transporte Propio;1491;Despejado;No;Same-Day;2;Sí;0;B1010AAA;118566
892;2/8/2023;miércoles;Neuquén;Electrónica;813;99350;Transporte Propio;505;Despejado;No;Normal;1;Sí;0;B1987AAA;50772
893;7/2/2023;martes;Tucumán;Muebles;212;842900;Correo Argentino;1217;Despejado;No;Express;1;No;0;B6383AAA;$ 40.929
894;5/4/2023;miércoles;Buenos Aires;Bazar;2174;857860;Oca;1372;Lluvia;No;Express;3;Sí;0;B8703AAA;$ 134.021
895;3/11/2023;viernes;Neuquén;Muebles;476;481790;Oca;1773;Despejado;No;Express;3;Sí;1;B6277AAA;ARS 127196
896;7/2/2023;martes;Neuquén;Indumentaria;601;851400;Andreani;1855;Despejado;No;Normal;2;No;0;B2842AAA;ARS 109171
897;17/10/2023;martes;Mendoza;Indumentaria;883;417240;Oca;1462;Despejado;No;Same-Day;1;No;0;B7517AAA;ARS 81727
898;8/1/2023;domingo;Neuquén;Juguetes;4161;756770;Oca;1283;Despejado;No;Same-Day;0;Sí;0;B3410AAA;$ 145.307
899;12/9/2023;martes;Santa Fe;Muebles;3203;166660;Transporte Propio;1719;Lluvia;No;Same-Day;3;No;0;B6512AAA;ARS 6254
900;6/9/2023;miércoles;Neuquén;Bazar;2704;955890;Andreani;1129;Despejado;No;Normal;3;No;0;B2698AAA;58873
901;25/4/2023;martes;Santa Fe;Muebles;4624;414690;Andreani;503;Tormenta;No;Same-Day;0;No;1;B4137AAA;18701
902;7/12/2023;jueves;Mendoza;Muebles;1057;934130;Oca;476;Despejado;No;Normal;3;No;0;B8894AAA;$ 75.834
903;17/6/2023;sábado;Santa Fe;Muebles;3429;345890;Correo Argentino;820;Despejado;No;Same-Day;3;No;0;N/A;18820
904;6/2/2023;lunes;Buenos Aires;Juguetes;4553;168100;Oca;1424;Despejado;No;Same-Day;2;Sí;0;B8283AAA;32408
905;23/10/2023;lunes;Tucumán;Bazar;2584;287250;Transporte Propio;1354;Despejado;No;Normal;2;Sí;0;B8417AAA;$ 97.019
906;10/10/2023;martes;Córdoba;Indumentaria;2171;149180;Transporte Propio;1324;Despejado;No;Same-Day;2;No;0;B2389AAA;102233
907;10/12/2023;domingo;CABA;Bazar;876;258470;Correo Argentino;2332;Lluvia;No;Normal;2;Sí;0;B8775AAA;$ 34.704
908;11/7/2023;martes;Tucumán;Muebles;829;5260;Oca;1445;Despejado;No;Same-Day;0;No;0;B9319AAA;64383
909;8/2/2023;miércoles;Tucumán;Bazar;959;361360;Transporte Propio;1679;Despejado;No;Normal;2;Sí;1;B8953AAA;1214
910;4/1/2023;miércoles;Córdoba;Bazar;362;94190;Andreani;1344;Despejado;No;Express;1;Sí;0;B19XX;134718
911;20/6/2023;martes;Neuquén;Muebles;1899;538190;Transporte Propio;1918;Despejado;No;Express;0;No;1;B4385AAA;$ 23.193
912;23/4/2023;domingo;Córdoba;Electrónica;4795;132290;Transporte Propio;1142;Lluvia;No;Same-Day;1;Sí;0;B6982AAA;$ 129.426
